epoch,accuracy,loss,val_accuracy,val_loss
0,0.3681151270866394,1.3260573148727417,0.5072045922279358,1.26726496219635
1,0.6570717096328735,0.9786980748176575,0.6570605039596558,0.9115190505981445
2,0.7960143685340881,0.5822859406471252,0.7060518860816956,0.7962082624435425
3,0.8400221467018127,0.42666301131248474,0.7089337110519409,0.7877148985862732
4,0.8765568733215332,0.34494414925575256,0.7031700015068054,0.8317440748214722
5,0.8926100134849548,0.28888484835624695,0.7002881765365601,0.8682282567024231
6,0.9183503985404968,0.23535233736038208,0.7060518860816956,0.9242194890975952
7,0.9363409876823425,0.20324254035949707,0.6945244669914246,0.956550121307373
8,0.9460282325744629,0.1738118678331375,0.6916426420211792,1.068476915359497
9,0.9518405795097351,0.15712101757526398,0.6887608170509338,1.05299711227417
10,0.9601439237594604,0.13188117742538452,0.6829971075057983,1.1505753993988037
11,0.9615278244018555,0.12104928493499756,0.680115282535553,1.2180904150009155
12,0.9665098190307617,0.11180747300386429,0.6858789920806885,1.273857593536377
13,0.9670633673667908,0.09966018050909042,0.6916426420211792,1.2989064455032349
14,0.9692776203155518,0.09771647304296494,0.7118155360221863,1.277083396911621
15,0.9687240719795227,0.0875113233923912,0.6887608170509338,1.349679946899414
16,0.973706066608429,0.07971690595149994,0.6714697480201721,1.4049797058105469
17,0.9731525182723999,0.0850277841091156,0.7002881765365601,1.4172486066818237
18,0.972875714302063,0.07541992515325546,0.7002881765365601,1.4211276769638062
19,0.975089967250824,0.07079426199197769,0.7002881765365601,1.4570482969284058
20,0.9775809645652771,0.07159605622291565,0.6916426420211792,1.5510882139205933
21,0.9753667116165161,0.06675288826227188,0.6858789920806885,1.5501608848571777
22,0.9784113168716431,0.061257414519786835,0.680115282535553,1.5633255243301392
23,0.9781345129013062,0.0623265840113163,0.6916426420211792,1.5263580083847046
24,0.9775809645652771,0.05539436638355255,0.6887608170509338,1.6017723083496094
